Temperature [K];CMF;x;y;P;R;G;B;r;g;b;#rgb
11100;10;0.2747;0.2844;1.816e+16;0.5510;0.6748;1.0000;196;214;255;#c4d6ff
11200;2;0.2765;0.2825;1.674e+16;0.5711;0.6611;1.0000;199;212;255;#c7d4ff
11200;10;0.2743;0.2839;1.859e+16;0.5470;0.6720;1.0000;195;214;255;#c3d6ff
11300;2;0.2761;0.2819;1.713e+16;0.5673;0.6581;1.0000;198;212;255;#c6d4ff
11300;10;0.2738;0.2834;1.903e+16;0.5432;0.6693;1.0000;195;214;255;#c3d6ff
11400;2;0.2757;0.2814;1.752e+16;0.5636;0.6552;1.0000;198;212;255;#c6d4ff
11400;10;0.2734;0.2829;1.947e+16;0.5394;0.6666;1.0000;194;213;255;#c2d5ff
11500;2;0.2753;0.2809;1.792e+16;0.5599;0.6523;1.0000;197;211;255;#c5d3ff
11500;10;0.2730;0.2825;1.991e+16;0.5357;0.6640;1.0000;193;213;255;#c1d5ff
11600;2;0.2749;0.2804;1.832e+16;0.5564;0.6495;1.0000;197;211;255;#c5d3ff
11600;10;0.2726;0.2820;2.036e+16;0.5322;0.6615;1.0000;193;212;255;#c1d4ff
11700;2;0.2745;0.2799;1.872e+16;0.5530;0.6468;1.0000;196;210;255;#c4d2ff
11700;10;0.2722;0.2816;2.081e+16;0.5287;0.6590;1.0000;192;212;255;#c0d4ff
11800;2;0.2742;0.2794;1.912e+16;0.5496;0.6441;1.0000;196;210;255;#c4d2ff
11800;10;0.2719;0.2811;2.126e+16;0.5253;0.6566;1.0000;192;212;255;#c0d4ff
11900;2;0.2738;0.2789;1.953e+16;0.5463;0.6415;1.0000;195;210;255;#c3d2ff
11900;10;0.2715;0.2807;2.171e+16;0.5220;0.6542;1.0000;191;211;255;#bfd3ff
12000;2;0.2734;0.2785;1.994e+16;0.5431;0.6389;1.0000;195;209;255;#c3d1ff
12000;10;0.2711;0.2803;2.217e+16;0.5187;0.6519;1.0000;191;211;255;#bfd3ff
12100;2;0.2731;0.2780;2.035e+16;0.5400;0.6364;1.0000;194;209;255;#c2d1ff
12100;10;0.2708;0.2799;2.263e+16;0.5156;0.6497;1.0000;190;211;255;#bed3ff
12200;2;0.2727;0.2776;2.076e+16;0.5370;0.6340;1.0000;194;208;255;#c2d0ff
12200;10;0.2704;0.2794;2.310e+16;0.5125;0.6474;1.0000;190;210;255;#bed2ff
